asin,helpful,rating,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B00000034,5/5,5,This Kindle book review sample number 34. Interesting content and readable format.,"11 07, 2014",A00000000000034,Reviewer34,Review summary 34,1402937600
B00000035,1/1,1,This Kindle book review sample number 35. Interesting content and readable format.,"12 08, 2014",A00000000000035,Reviewer35,Review summary 35,1403024000
B00000036,2/2,2,This Kindle book review sample number 36. Interesting content and readable format.,"01 09, 2014",A00000000000036,Reviewer36,Review summary 36,1403110400
B00000037,3/3,3,This Kindle book review sample number 37. Interesting content and readable format.,"02 10, 2014",A00000000000037,Reviewer37,Review summary 37,1403196800
B00000038,4/4,4,This Kindle book review sample number 38. Interesting content and readable format.,"03 11, 2014",A00000000000038,Reviewer38,Review summary 38,1403283200
B00000039,5/5,5,This Kindle book review sample number 39. Interesting content and readable format.,"04 12, 2014",A00000000000039,Reviewer39,Review summary 39,1403369600
B00000040,1/1,1,This Kindle book review sample number 40. Interesting content and readable format.,"05 13, 2014",A00000000000040,Reviewer40,Review summary 40,1403456000
B00000041,2/2,2,This Kindle book review sample number 41. Interesting content and readable format.,"06 14, 2014",A00000000000041,Reviewer41,Review summary 41,1403542400
B00000042,3/3,3,This Kindle book review sample number 42. Interesting content and readable format.,"07 15, 2014",A00000000000042,Reviewer42,Review summary 42,1403628800
B00000043,4/4,4,This Kindle book review sample number 43. Interesting content and readable format.,"08 16, 2014",A00000000000043,Reviewer43,Review summary 43,1403715200
B00000044,5/5,5,This Kindle book review sample number 44. Interesting content and readable format.,"09 17, 2014",A00000000000044,Reviewer44,Review summary 44,1403801600
B00000045,1/1,1,This Kindle book review sample number 45. Interesting content and readable format.,"10 18, 2014",A00000000000045,Reviewer45,Review summary 45,1403888000
B00000046,2/2,2,This Kindle book review sample number 46. Interesting content and readable format.,"11 19, 2014",A00000000000046,Reviewer46,Review summary 46,1403974400
B00000047,3/3,3,This Kindle book review sample number 47. Interesting content and readable format.,"12 20, 2014",A00000000000047,Reviewer47,Review summary 47,1404060800
B00000048,4/4,4,This Kindle book review sample number 48. Interesting content and readable format.,"01 21, 2014",A00000000000048,Reviewer48,Review summary 48,1404147200
B00000049,5/5,5,This Kindle book review sample number 49. Interesting content and readable format.,"02 22, 2014",A00000000000049,Reviewer49,Review summary 49,1404233600
B00000050,1/1,1,This Kindle book review sample number 50. Interesting content and readable format.,"03 23, 2014",A00000000000050,Reviewer50,Review summary 50,1404320000
B00000051,2/2,2,This Kindle book review sample number 51. Interesting content and readable format.,"04 24, 2014",A00000000000051,Reviewer51,Review summary 51,1404406400
B00000052,3/3,3,This Kindle book review sample number 52. Interesting content and readable format.,"05 25, 2014",A00000000000052,Reviewer52,Review summary 52,1404492800
B00000053,4/4,4,This Kindle book review sample number 53. Interesting content and readable format.,"06 26, 2014",A00000000000053,Reviewer53,Review summary 53,1404579200
B00000054,5/5,5,This Kindle book review sample number 54. Interesting content and readable format.,"07 27, 2014",A00000000000054,Reviewer54,Review summary 54,1404665600
B00000055,1/1,1,This Kindle book review sample number 55. Interesting content and readable format.,"08 28, 2014",A00000000000055,Reviewer55,Review summary 55,1404752000
B00000056,2/2,2,This Kindle book review sample number 56. Interesting content and readable format.,"09 01, 2014",A00000000000056,Reviewer56,Review summary 56,1404838400
B00000057,3/3,3,This Kindle book review sample number 57. Interesting content and readable format.,"10 02, 2014",A00000000000057,Reviewer57,Review summary 57,1404924800
B00000058,4/4,4,This Kindle book review sample number 58. Interesting content and readable format.,"11 03, 2014",A00000000000058,Reviewer58,Review summary 58,1405011200
B00000059,5/5,5,This Kindle book review sample number 59. Interesting content and readable format.,"12 04, 2014",A00000000000059,Reviewer59,Review summary 59,1405097600
B00000060,1/1,1,This Kindle book review sample number 60. Interesting content and readable format.,"01 05, 2014",A00000000000060,Reviewer60,Review summary 60,1405184000
B00000061,2/2,2,This Kindle book review sample number 61. Interesting content and readable format.,"02 06, 2014",A00000000000061,Reviewer61,Review summary 61,1405270400
B00000062,3/3,3,This Kindle book review sample number 62. Interesting content and readable format.,"03 07, 2014",A00000000000062,Reviewer62,Review summary 62,1405356800
B00000063,4/4,4,This Kindle book review sample number 63. Interesting content and readable format.,"04 08, 2014",A00000000000063,Reviewer63,Review summary 63,1405443200
B00000064,5/5,5,This Kindle book review sample number 64. Interesting content and readable format.,"05 09, 2014",A00000000000064,Reviewer64,Review summary 64,1405529600
B00000065,1/1,1,This Kindle book review sample number 65. Interesting content and readable format.,"06 10, 2014",A00000000000065,Reviewer65,Review summary 65,1405616000
B00000066,2/2,2,This Kindle book review sample number 66. Interesting content and readable format.,"07 11, 2014",A00000000000066,Reviewer66,Review summary 66,1405702400
B00000067,3/3,3,This Kindle book review sample number 67. Interesting content and readable format.,"08 12, 2014",A00000000000067,Reviewer67,Review summary 67,1405788800
B00000068,4/4,4,This Kindle book review sample number 68. Interesting content and readable format.,"09 13, 2014",A00000000000068,Reviewer68,Review summary 68,1405875200
B00000069,5/5,5,This Kindle book review sample number 69. Interesting content and readable format.,"10 14, 2014",A00000000000069,Reviewer69,Review summary 69,1405961600
B00000070,1/1,1,This Kindle book review sample number 70. Interesting content and readable format.,"11 15, 2014",A00000000000070,Reviewer70,Review summary 70,1406048000
B00000071,2/2,2,This Kindle book review sample number 71. Interesting content and readable format.,"12 16, 2014",A00000000000071,Reviewer71,Review summary 71,1406134400
B00000072,3/3,3,This Kindle book review sample number 72. Interesting content and readable format.,"01 17, 2014",A00000000000072,Reviewer72,Review summary 72,1406220800
B00000073,4/4,4,This Kindle book review sample number 73. Interesting content and readable format.,"02 18, 2014",A00000000000073,Reviewer73,Review summary 73,1406307200
B00000074,5/5,5,This Kindle book review sample number 74. Interesting content and readable format.,"03 19, 2014",A00000000000074,Reviewer74,Review summary 74,1406393600
B00000075,1/1,1,This Kindle book review sample number 75. Interesting content and readable format.,"04 20, 2014",A00000000000075,Reviewer75,Review summary 75,1406480000
B00000076,2/2,2,This Kindle book review sample number 76. Interesting content and readable format.,"05 21, 2014",A00000000000076,Reviewer76,Review summary 76,1406566400
B00000077,3/3,3,This Kindle book review sample number 77. Interesting content and readable format.,"06 22, 2014",A00000000000077,Reviewer77,Review summary 77,1406652800
B00000078,4/4,4,This Kindle book review sample number 78. Interesting content and readable format.,"07 23, 2014",A00000000000078,Reviewer78,Review summary 78,1406739200
B00000079,5/5,5,This Kindle book review sample number 79. Interesting content and readable format.,"08 24, 2014",A00000000000079,Reviewer79,Review summary 79,1406825600
B00000080,1/1,1,This Kindle book review sample number 80. Interesting content and readable format.,"09 25, 2014",A00000000000080,Reviewer80,Review summary 80,1406912000
B00000081,2/2,2,This Kindle book review sample number 81. Interesting content and readable format.,"10 26, 2014",A00000000000081,Reviewer81,Review summary 81,1406998400
B00000082,3/3,3,This Kindle book review sample number 82. Interesting content and readable format.,"11 27, 2014",A00000000000082,Reviewer82,Review summary 82,1407084800
B00000083,4/4,4,This Kindle book review sample number 83. Interesting content and readable format.,"12 28, 2014",A00000000000083,Reviewer83,Review summary 83,1407171200
B00000084,5/5,5,This Kindle book review sample number 84. Interesting content and readable format.,"01 01, 2014",A00000000000084,Reviewer84,Review summary 84,1407257600
B00000085,1/1,1,This Kindle book review sample number 85. Interesting content and readable format.,"02 02, 2014",A00000000000085,Reviewer85,Review summary 85,1407344000
B00000086,2/2,2,This Kindle book review sample number 86. Interesting content and readable format.,"03 03, 2014",A00000000000086,Reviewer86,Review summary 86,1407430400
B00000087,3/3,3,This Kindle book review sample number 87. Interesting content and readable format.,"04 04, 2014",A00000000000087,Reviewer87,Review summary 87,1407516800
B00000088,4/4,4,This Kindle book review sample number 88. Interesting content and readable format.,"05 05, 2014",A00000000000088,Reviewer88,Review summary 88,1407603200
B00000089,5/5,5,This Kindle book review sample number 89. Interesting content and readable format.,"06 06, 2014",A00000000000089,Reviewer89,Review summary 89,1407689600
B00000090,1/1,1,This Kindle book review sample number 90. Interesting content and readable format.,"07 07, 2014",A00000000000090,Reviewer90,Review summary 90,1407776000
B00000091,2/2,2,This Kindle book review sample number 91. Interesting content and readable format.,"08 08, 2014",A00000000000091,Reviewer91,Review summary 91,1407862400
B00000092,3/3,3,This Kindle book review sample number 92. Interesting content and readable format.,"09 09, 2014",A00000000000092,Reviewer92,Review summary 92,1407948800
B00000093,4/4,4,This Kindle book review sample number 93. Interesting content and readable format.,"10 10, 2014",A00000000000093,Reviewer93,Review summary 93,1408035200
B00000094,5/5,5,This Kindle book review sample number 94. Interesting content and readable format.,"11 11, 2014",A00000000000094,Reviewer94,Review summary 94,1408121600
B00000095,1/1,1,This Kindle book review sample number 95. Interesting content and readable format.,"12 12, 2014",A00000000000095,Reviewer95,Review summary 95,1408208000
B00000096,2/2,2,This Kindle book review sample number 96. Interesting content and readable format.,"01 13, 2014",A00000000000096,Reviewer96,Review summary 96,1408294400
B00000097,3/3,3,This Kindle book review sample number 97. Interesting content and readable format.,"02 14, 2014",A00000000000097,Reviewer97,Review summary 97,1408380800
B00000098,4/4,4,This Kindle book review sample number 98. Interesting content and readable format.,"03 15, 2014",A00000000000098,Reviewer98,Review summary 98,1408467200
B00000099,5/5,5,This Kindle book review sample number 99. Interesting content and readable format.,"04 16, 2014",A00000000000099,Reviewer99,Review summary 99,1408553600
B00000100,1/1,1,This Kindle book review sample number 100. Interesting content and readable format.,"05 17, 2014",A00000000000100,Reviewer100,Review summary 100,1408640000
B00000101,2/2,2,This Kindle book review sample number 101. Interesting content and readable format.,"06 18, 2014",A00000000000101,Reviewer101,Review summary 101,1408726400
B00000102,3/3,3,This Kindle book review sample number 102. Interesting content and readable format.,"07 19, 2014",A00000000000102,Reviewer102,Review summary 102,1408812800
B00000103,4/4,4,This Kindle book review sample number 103. Interesting content and readable format.,"08 20, 2014",A00000000000103,Reviewer103,Review summary 103,1408899200
B00000104,5/5,5,This Kindle book review sample number 104. Interesting content and readable format.,"09 21, 2014",A00000000000104,Reviewer104,Review summary 104,1408985600
B00000105,1/1,1,This Kindle book review sample number 105. Interesting content and readable format.,"10 22, 2014",A00000000000105,Reviewer105,Review summary 105,1409072000
B00000106,2/2,2,This Kindle book review sample number 106. Interesting content and readable format.,"11 23, 2014",A00000000000106,Reviewer106,Review summary 106,1409158400
B00000107,3/3,3,This Kindle book review sample number 107. Interesting content and readable format.,"12 24, 2014",A00000000000107,Reviewer107,Review summary 107,1409244800
B00000108,4/4,4,This Kindle book review sample number 108. Interesting content and readable format.,"01 25, 2014",A00000000000108,Reviewer108,Review summary 108,1409331200
B00000109,5/5,5,This Kindle book review sample number 109. Interesting content and readable format.,"02 26, 2014",A00000000000109,Reviewer109,Review summary 109,1409417600
B00000110,1/1,1,This Kindle book review sample number 110. Interesting content and readable format.,"03 27, 2014",A00000000000110,Reviewer110,Review summary 110,1409504000
B00000111,2/2,2,This Kindle book review sample number 111. Interesting content and readable format.,"04 28, 2014",A00000000000111,Reviewer111,Review summary 111,1409590400
B00000112,3/3,3,This Kindle book review sample number 112. Interesting content and readable format.,"05 01, 2014",A00000000000112,Reviewer112,Review summary 112,1409676800
B00000113,4/4,4,This Kindle book review sample number 113. Interesting content and readable format.,"06 02, 2014",A00000000000113,Reviewer113,Review summary 113,1409763200
B00000114,5/5,5,This Kindle book review sample number 114. Interesting content and readable format.,"07 03, 2014",A00000000000114,Reviewer114,Review summary 114,1409849600
B00000115,1/1,1,This Kindle book review sample number 115. Interesting content and readable format.,"08 04, 2014",A00000000000115,Reviewer115,Review summary 115,1409936000
B00000116,2/2,2,This Kindle book review sample number 116. Interesting content and readable format.,"09 05, 2014",A00000000000116,Reviewer116,Review summary 116,1410022400
B00000117,3/3,3,This Kindle book review sample number 117. Interesting content and readable format.,"10 06, 2014",A00000000000117,Reviewer117,Review summary 117,1410108800
B00000118,4/4,4,This Kindle book review sample number 118. Interesting content and readable format.,"11 07, 2014",A00000000000118,Reviewer118,Review summary 118,1410195200
B00000119,5/5,5,This Kindle book review sample number 119. Interesting content and readable format.,"12 08, 2014",A00000000000119,Reviewer119,Review summary 119,1410281600
B00000120,1/1,1,This Kindle book review sample number 120. Interesting content and readable format.,"01 09, 2014",A00000000000120,Reviewer120,Review summary 120,1410368000
